"name","state","public","tier_name","sticker_price_2013","sat_avg_2013","par_median","k_median","mr_kq5_pq1","par_top1pc","scorecard_rej_rate_2013","mobility_above_average"
"Concordia University of Portland, OR","OR","Private","6 Selective
private",27420,1040,88400,41700,0.00875262077897787,0.0126678384840488,0.44080001115799,0
"Concordia University of River Forest, IL","IL","Private","6 Selective
private",28718,1040,86300,35100,0.00767215294763446,0.00613364391028881,0.455900013446808,0
"Concordia University of Seward, NE","NE","Private","6 Selective
private",25950,970,75500,36500,0.00702595943585038,0.00225996575318277,0.284799993038177,0
"Connecticut College","CT","Private","2 Other
elite",47740,NA,170500,55500,0.0157968960702419,0.139323487877846,0.641499996185303,0
"Converse College","SC","Private","6 Selective
private",16500,1040,93000,32700,0.00690211495384574,0.0252387505024672,0.479900002479553,0
"Cooper Union For The Advancement Of Science & Art ","NY","Private","2 Other
elite",41400,1375,110100,64300,0.0427763797342777,0.0260506961494684,0.922599971294403,1
"Corban University","OR","Private","6 Selective
private",28640,1017.5,79000,32200,0.00471635907888412,0.00978476461023092,0.677500009536743,0
"Cornell College","IA","Private","6 Selective
private",37500,1185,91800,45500,0.00870946422219276,0.0174477212131023,0.358900010585785,0
"Cornell University","NY","Private","1 Ivy+",47286,1420,143300,79800,0.0290702357888222,0.091139018535614,0.844399988651276,1
"Cornerstone University","MI","Private","6 Selective
private",25112,1057,84200,29400,0.0032964707352221,0.0192582923918962,0.3192999958992,0
"Covenant College","GA","Private","6 Selective
private",30160,1165,86400,32300,0.0215237308293581,0.0355581603944302,0.42960000038147,1
"Creighton University","NE","Private","6 Selective
private",35360,1182.5,119200,57200,0.0160246919840574,0.0543138459324837,0.233500003814697,0
"Culver-Stockton College","MO","Private","6 Selective
private",24050,960,78600,38900,0.0156099246814847,0.00435972400009632,0.407400012016296,0
"Cumberland University","TN","Private","6 Selective
private",20200,975,68800,37500,0.0200494769960642,0.00222487724386156,0.52700001001358,1
"Curry College","MA","Private","6 Selective
private",35415,950,101600,38800,0.0190950855612755,0.0478029139339924,0.330799996852875,0
"D'Youville College","NY","Private","6 Selective
private",23562,1015,75800,45200,0.0396632440388203,0.00370632740668952,0.209199994802475,1
"Daemen College","NY","Private","6 Selective
private",24990,NA,77600,41900,0.0154897822067142,0.00395288877189159,0.513599991798401,0
"Dallas Baptist University","TX","Private","6 Selective
private",23650,1108.5,87000,39500,0.00830965489149094,0.007131511811167,0.577000021934509,0
"Dartmouth College","NH","Private","1 Ivy+",48108,1455,185500,76600,0.0137626137584448,0.17733658850193,0.902199983596802,0
"Davenport University","MI","Private","6 Selective
private",15072,NA,55800,23400,0.0124560222029686,0.00270581431686878,0.0829999968409538,0
"Davidson College","NC","Private","2 Other
elite",45377,1335,208500,60300,0.00410205638036132,0.17505419254303,0.743900001049042,0
"Davis & Elkins College","WV","Private","6 Selective
private",27492,975,68000,32700,0.00558727839961648,0.0163830667734146,0.426600009202957,0
"DePauw University","IN","Private","6 Selective
private",42746,1195,117700,52900,0.00907615944743156,0.0551537685096264,0.387899994850159,0
"DeSales University","PA","Private","6 Selective
private",32350,1020,98800,51100,0.0068456563167274,0.00844003353267908,0.241999998688698,0
"Defiance College","OH","Private","6 Selective
private",29916,920,77900,39900,0.0110664339736104,0.00272529944777489,0.284000009298325,0
"Delaware Valley College Of Science & Agriculture","PA","Private","6 Selective
private",33826,990,90700,45100,0.0162879079580307,0.012179646641016,0.316599994897842,0
"Delta State University","MS","Public","5 Selective
public",6562,950,71000,37600,0.0224601998925209,0.00152890279423445,0.105899997055531,1
"Denison University","OH","Private","4 H. Sel.
Private",45670,NA,149300,53700,0.0093918414786458,0.0939301252365112,0.540300011634827,0
"Depaul University","IL","Private","6 Selective
private",35071,NA,99900,51300,0.0285535175353289,0.0462854653596878,0.401300013065338,1
"Dickinson College","PA","Private","4 H. Sel.
Private",47692,NA,136600,55100,0.012097311206162,0.103730000555515,0.555599987506866,0
"Dickinson State University","ND","Public","5 Selective
public",6050,885,57800,40700,0.0409798882901669,0.000968621694482863,0.513199985027313,1
"Dillard University","LA","Private","6 Selective
private",16252,870,42600,36700,0.0502848066389561,0.00158932234626263,0.645600020885468,1
"Doane College","NE","Private","6 Selective
private",20208.189453125,975,76600,45100,0.0145342508330941,0.0114481514319777,0.282700002193451,0
"Dominican College Of Blauvelt","NY","Private","6 Selective
private",25702,870,88900,48900,0.0365838259458542,0.00430078618228436,0.281100004911423,1
"Dominican University","IL","Private","6 Selective
private",29770,945,87300,44300,0.014196315780282,0.0149067174643278,0.400299996137619,0
"Dominican University Of California","CA","Private","6 Selective
private",41730,1045,98100,45200,0.0319808758795261,0.025760667398572,0.224800005555153,1
"Dordt College","IA","Private","6 Selective
private",27460,1080,80500,35400,0.00342393200844526,0.00929815042763948,0.245800003409386,0
"Dowling College","NY","Private","6 Selective
private",29500,NA,71500,45800,0.0495415031909943,0.00581254763528705,0.217199996113777,1
"Drake University","IA","Private","6 Selective
private",32246,1185,109600,57200,0.0174738243222237,0.0255006272345781,0.340499997138977,0
"Drew University","NJ","Private","6 Selective
private",45214,1110,140400,55600,0.0230580698698759,0.0721755772829056,0.225700005888939,1
"Drury University","MO","Private","6 Selective
private",23885,NA,74400,34000,0.0122017506510019,0.0189339406788349,0.190500006079674,0
"Duke University","NC","Private","1 Ivy+",47243,1460,196000,87500,0.0160262808203697,0.192156136035919,0.865800023078918,0
"Duquesne University Of The Holy Spirit","PA","Private","6 Selective
private",32636,1135,104000,56300,0.0171688459813595,0.0270374659448862,0.259099990129471,0
"Earlham College","IN","Private","6 Selective
private",42870,NA,99100,33300,0.00244365027174354,0.0285552814602852,0.363000005483627,0
"East Carolina University","NC","Public","5 Selective
public",6143,1040,96000,41200,0.0119325034320354,0.0124886110424995,0.37830001115799,0
"East Stroudsburg University Of Pennsylvania","PA","Public","5 Selective
public",9376,955,85700,43000,0.0170189179480076,0.00548463966697454,0.215599998831749,0
"East Tennessee State University","TN","Public","5 Selective
public",7667,1035,75600,33200,0.014986983500421,0.00570797687396407,0.13510000705719,0
"East Texas Baptist University","TX","Private","6 Selective
private",23280,955,72500,35900,0.0148898353800178,0.00576590513810515,0.263799995183945,0
"Eastern Connecticut State University","CT","Public","5 Selective
public",9560,NA,94900,45000,0.0088992640376091,0.00564789026975632,0.354699999094009,0
"Eastern Illinois University","IL","Public","5 Selective
public",10959,NA,100100,44800,0.00965818297117949,0.00510207796469331,0.380899995565414,0
"Eastern Kentucky University","KY","Public","5 Selective
public",7920,980,69700,33800,0.0152095593512058,0.00380339520052075,0.399800002574921,0
"Eastern Mennonite University","VA","Private","6 Selective
private",30800,995,90700,39600,0.0100125288590789,0.0074757793918252,0.349500000476837,0
"Eastern Michigan University","MI","Public","5 Selective
public",9663,995,98400,38500,0.0116865783929825,0.00751686748117208,0.360199987888336,0
"Eastern Nazarene College","MA","Private","6 Selective
private",29012,925,81600,34400,0.0132958656176925,0.00616545602679253,0.442099988460541,0
"Eastern New Mexico University","NM","Public","5 Selective
public",3243.51342773438,965,47200,27500,0.021399237215519,0.00186163233593106,0.367900013923645,1
"Eastern Oregon University","OR","Public","5 Selective
public",7440,935,74600,37300,0.019505962729454,0.00396221689879894,0.330000013113022,1
"Eastern University","PA","Private","6 Selective
private",29600,1035,93900,33300,0.00706982798874378,0.0220810826867819,0.359100013971329,0
"Eastern Washington University","WA","Public","5 Selective
public",7972,960,85900,41700,0.0192272365093231,0.00642022024840117,0.203299999237061,0
"Eckerd College","FL","Private","6 Selective
private",38668,1125,113100,38800,0.0114834681153297,0.0530739203095436,0.289600014686584,0
"Edgewood College","WI","Private","6 Selective
private",25590,925,93300,40500,0.0123536204919219,0.0228952988982201,0.234400004148483,0
"Edinboro University Of Pennsylvania","PA","Public","5 Selective
public",9256,935,74800,34600,0.010094229131937,0.00427434826269746,0.126499995589256,0
"Elizabeth City State University","NC","Public","5 Selective
public",4498,865,37400,31000,0.0387735478579998,0,0.42849999666214,1
"Elizabethtown College","PA","Private","6 Selective
private",39920,1130,98100,50900,0.00934760365635157,0.0160503182560205,0.304300010204315,0
"Elmhurst College","IL","Private","6 Selective
private",33950,1070,100200,48500,0.0164763163775206,0.0171933770179749,0.282000005245209,0
"Elmira College","NY","Private","6 Selective
private",38150,1060,91400,47500,0.013689324259758,0.0169281847774982,0.202199995517731,0
"Elon University","NC","Private","4 H. Sel.
Private",31247,1225,146000,47300,0.00636495649814606,0.067646361887455,0.460200011730194,0
"Embry-Riddle Aeronautical University","FL","Private","6 Selective
private",31864.220703125,NA,92400,65600,0.034791573882103,0.014424953609705,0.122219055891037,1
"Emerson College","MA","Private","4 H. Sel.
Private",37350,1235,120500,44800,0.0107863740995526,0.0663758888840675,0.52020001411438,0
"Emmanuel College of Boston, MA","MA","Private","6 Selective
private",35532,1090,93400,46600,0.0187476575374603,0.0129843465983868,0.395099997520447,0
"Emory & Henry College","VA","Private","6 Selective
private",30326,987.5,84000,40700,0.0150350909680128,0.0111920852214098,0.342799991369247,0
"Emory University","GA","Private","2 Other
elite",45008,1370,175700,67800,0.0180054623633623,0.167794585227966,0.736699998378754,0
"Emporia State University","KS","Public","5 Selective
public",5746,955,80100,37500,0.00731853675097227,0.00237498292699456,0.393099993467331,0
"Endicott College","MA","Private","6 Selective
private",29494,NA,108400,47500,0.0141977835446596,0.0344133228063583,0.283499985933304,0
"Erskine College","SC","Private","6 Selective
private",31580,1020,94700,37400,0.00156753102783114,0.0186716560274363,0.302700012922287,0
"Eureka College","IL","Private","6 Selective
private",20060,1155,76500,41300,0.0182728469371796,0.0107437772676349,0.321900010108948,0
"Evangel University","MO","Private","6 Selective
private",20796,1005,73800,33200,0.00956898741424084,0.0120290145277977,0.357499986886978,0
"Evergreen State College ","WA","Public","5 Selective
public",8682,1040,100200,27000,0.00514379376545548,0.0261116232722998,0.0291000008583069,0
"Fairfield University","CT","Private","6 Selective
private",43770,NA,151500,69900,0.0157730467617512,0.0829442515969276,0.288399994373322,0
"Fairleigh Dickinson University","NJ","Private","6 Selective
private",36519.171875,963.060119628906,87000,48200,0.033313225954771,0.0261668730527163,0.254152894020081,1
"Fashion Institute Of Technology","NY","Public","5 Selective
public",6870,NA,79800,36700,0.0364847928285599,0.0184140093624592,0.551599979400635,1
"Fayetteville State University","NC","Public","5 Selective
public",4655,885,41400,28700,0.0243208035826683,0.00121943361591548,0.450399994850159,1
"Felician College","NJ","Private","6 Selective
private",30605,875,73300,40400,0.0243794526904821,0.00645563518628478,0.118100002408028,1
"Ferris State University","MI","Public","5 Selective
public",10556,NA,82500,42400,0.016972079873085,0.0064962082542479,0.24099999666214,0
"Ferrum College","VA","Private","6 Selective
private",29795,840,71100,37000,0.0160685423761606,0.0112619623541832,0.258899986743927,0
"Fitchburg State University","MA","Public","5 Selective
public",9260,1005,89500,45000,0.0174698159098625,0.0039992006495595,0.278899997472763,0
"Flagler College","FL","Private","6 Selective
private",14799.462890625,1050,100900,40300,0.0151327308267355,0.0187599007040262,0.501299977302551,0
"Florida Agricultural & Mechanical University","FL","Public","5 Selective
public",5785,941.5,57000,39300,0.0326632931828499,0.00205645128153265,0.550000011920929,1
"Florida Atlantic University","FL","Public","5 Selective
public",4831,1050,77100,40500,0.0307031497359276,0.0191668719053268,0.522700011730194,1
"Florida Gulf Coast University","FL","Public","5 Selective
public",6118,1050,78900,39700,0.018777234479785,0.0111284097656608,0.342099994421005,0
"Florida Institute Of Technology","FL","Private","6 Selective
private",37990,1155,86300,59600,0.0375055819749832,0.0116763059049845,0.395500004291534,1
"Florida International University","FL","Public","5 Selective
public",6497,1080,66700,46800,0.0522495806217194,0.0120211904868484,0.569599986076355,1
"Florida Memorial University","FL","Private","6 Selective
private",14776,NA,33400,29300,0.0252944510430098,0.00050522101810202,0.584100008010864,1
"Florida Southern College","FL","Private","6 Selective
private",29990,1130,85400,38700,0.0186374299228191,0.0165699366480112,0.50110000371933,0
"Florida State University","FL","Public","5 Selective
public",6507,1205,100500,46400,0.0216495357453823,0.0231590289622545,0.43189999461174,1
"Fontbonne University","MO","Private","6 Selective
private",23130,1095.5,88800,37300,0.00901639927178621,0.032612282782793,0.347600013017654,0
"Fordham University","NY","Private","4 H. Sel.
Private",45238,1250,113300,63300,0.0397819690406322,0.047085627913475,0.528699994087219,1
"Fort Hays State University","KS","Public","5 Selective
public",4469,NA,71100,38500,0.0135848820209503,0.00385079020634294,0.108300000429153,0
"Fort Lewis College","CO","Public","5 Selective
public",7252,1061,90600,32700,0.00852514617145061,0.0267226323485374,0.125,0
"Fort Valley State University","GA","Public","5 Selective
public",6448,875,45100,30900,0.0282763261348009,0.000139775118441321,0.672699987888336,1
"Francis Marion University","SC","Public","5 Selective
public",9738,955,68500,34100,0.01444520521909,0.00536896893754601,0.433299988508224,0
"Franciscan University Of Steubenville","OH","Private","6 Selective
private",23930,1180,102500,29500,0.0062151663005352,0.021673833951354,0.23929999768734,0
"Franklin & Marshall College","PA","Private","2 Other
elite",48514,NA,162900,57800,0.012550001963973,0.108226224780083,0.606899976730347,0
"Franklin College Of Indiana","IN","Private","6 Selective
private",28185,1020,85300,44000,0.0116436518728733,0.0102264368906617,0.399800002574921,0
"Franklin Pierce University","NH","Private","6 Selective
private",31782,950,86300,39100,0.0132347652688622,0.0122408522292972,0.152799993753433,0
"Freed Hardeman University","TN","Private","6 Selective
private",20468,1070,77500,34500,0.0144435092806816,0.00633685756474733,0.0797000005841255,0
"Fresno Pacific University","CA","Private","6 Selective
private",26638,1010,71100,37900,0.037159513682127,0.00382359977811575,0.215599998831749,1
"Friends University","KS","Private","6 Selective
private",24630,1025,82200,35000,0.00974288396537304,0.00953466072678566,0.413800001144409,0
"Furman University","SC","Private","4 H. Sel.
Private",44668,NA,156700,48100,0.00691980915144086,0.109852112829685,0.360300004482269,0
"Gannon University","PA","Private","6 Selective
private",29203,1030,83300,49000,0.0144032156094909,0.0050126132555306,0.195800006389618,0
"Gardner - Webb University","NC","Private","6 Selective
private",27080,1012.5,84800,37200,0.0122000956907868,0.0118241896852851,0.518299996852875,0
"Geneva College","PA","Private","6 Selective
private",25220,1067,77800,37900,0.0120106469839811,0.00858538690954447,0.319799989461899,0
"George Fox University","OR","Private","6 Selective
private",31866,1085,89000,39200,0.0116655854508281,0.0133099863305688,0.24719999730587,0
"George Mason University","VA","Public","5 Selective
public",10382,1150,107500,56500,0.0309005230665207,0.0130303520709276,0.379700005054474,1
"George Washington University","DC","Private","2 Other
elite",46725,1295,137300,63900,0.0215659830719233,0.0965167284011841,0.669200003147125,1
"Georgetown College","KY","Private","6 Selective
private",32960,1037.5,93600,44900,0.014632448554039,0.0137736154720187,0.178100004792213,0
"Georgetown University","DC","Private","2 Other
elite",46744,1420,195100,84400,0.0194570403546095,0.177927196025848,0.830299973487854,1
"Georgia College & State University","GA","Public","5 Selective
public",8960,1135,95100,40500,0.0113955615088344,0.0094648115336895,0.320199996232986,0
"Georgia Institute Of Technology","GA","Public","3 H. Sel.
Public",11394,1400,126000,78900,0.0185770131647587,0.0328967683017254,0.450700014829636,0
"Georgia Southern University","GA","Public","5 Selective
public",6170,1105,88100,40500,0.0168303791433573,0.00913897249847651,0.479999989271164,0
"Georgia Southwestern State University","GA","Public","5 Selective
public",5158,970,73400,37400,0.018960177898407,0.00163155479822308,0.319700002670288,0
"Georgia State University","GA","Public","5 Selective
public",8618,1070,82200,38900,0.0207848977297544,0.010490732267499,0.453399986028671,1
"Georgian Court University","NJ","Private","6 Selective
private",30998,945,83300,41000,0.0210405103862286,0.0130565799772739,0.221000000834465,1
"Gettysburg College","PA","Private","4 H. Sel.
Private",47480,NA,138500,58800,0.00815986655652523,0.106934785842896,0.583700001239777,0
"Glenville State College","WV","Public","5 Selective
public",6696,860,55900,34300,0.0138109540566802,0.00106580776628107,0.255400002002716,0
"Goldey-Beacom College","DE","Private","6 Selective
private",22500,NA,80300,44800,0.0081316651776433,0.0155724165961146,0.476900011301041,0
"Gonzaga University","WA","Private","4 H. Sel.
Private",36535,1195,121100,54900,0.00802175421267748,0.0487327426671982,0.334899991750717,0
"Gordon College","MA","Private","6 Selective
private",34390,1155,95900,37300,0.00595890264958143,0.0195174477994442,0.586700022220612,0
"Goshen College","IN","Private","6 Selective
private",29700,1100,86900,37400,0.0108532551676035,0.0157153122127056,0.449400007724762,0
"Goucher College","MD","Private","6 Selective
private",40558,NA,106300,41800,0.0217925384640694,0.0494576580822468,0.282700002193451,1
"Grace College And Theological Seminary","IN","Private","6 Selective
private",24670,1115,73100,30800,0.0163207501173019,0.0020541159901768,0.211600005626678,0
"Graceland University","IA","Private","6 Selective
private",24920,860,77200,39300,0.0208123195916414,0.00050522101810202,0.498199999332428,1
"Grambling State University","LA","Public","5 Selective
public",6525,860,34300,30500,0.0461682230234146,0,0.563700020313263,1
"Grand Valley State University","MI","Public","5 Selective
public",11028,1072.5,96400,41300,0.00790637452155352,0.00752084888517857,0.17399999499321,0
"Grand View University","IA","Private","6 Selective
private",23426,935,71800,38900,0.0150495935231447,0.00610062945634127,0.0458000004291534,0
"Green Mountain College","VT","Private","6 Selective
private",33736,NA,93200,31200,0.0156900584697723,0.0218464527279139,0.244499996304512,0
"Greensboro College","NC","Private","6 Selective
private",26850,880,95400,37200,0.00589482858777046,0.0227063167840242,0.216900005936623,0
"Greenville College","IL","Private","6 Selective
private",24360,984,80000,33800,0.0146628646180034,0.00507067935541272,0.342999994754791,0
"Grinnell College","IA","Private","4 H. Sel.
Private",45620,1395,126400,47300,0.0145528893917799,0.0403816476464272,0.649399995803833,0
"Guilford College","NC","Private","6 Selective
private",33430,NA,109900,36800,0.00843309424817562,0.034161202609539,0.318199992179871,0
"Gustavus Adolphus College","MN","Private","4 H. Sel.
Private",40400,NA,114000,53100,0.00667663849890232,0.0370003990828991,0.367799997329712,0
"Gwynedd Mercy University","PA","Private","6 Selective
private",30460,960,94700,52700,0.0137609336525202,0.0102361291646957,0.340900003910065,0
"Hamilton College","NY","Private","2 Other
elite",47820,1390,164600,60300,0.0230193361639977,0.12935546040535,0.728100001811981,1
"Hamline University","MN","Private","6 Selective
private",36270,1070,94300,47600,0.0149477897211909,0.0162493903189898,0.344300001859665,0
"Hampden Sydney College","VA","Private","6 Selective
private",39204,1102.5,141200,59900,0.00646160589531064,0.0789395868778229,0.451400011777878,0
"Hampshire College","MA","Private","4 H. Sel.
Private",48065,NA,119300,31200,0.00741671677678823,0.0815003961324692,0.363099992275238,0
"Hampton University","VA","Private","6 Selective
private",21760,1005,79500,45900,0.0213931612670422,0.0060856337659061,0.639500021934509,1
"Hannibal - Lagrange University","MO","Private","6 Selective
private",19530,NA,71800,30600,0.0129577117040753,0,0.318599998950958,0
"Hanover College","IN","Private","6 Selective
private",33023,1055,107800,46300,0.00423767976462841,0.0193193200975657,0.33270001411438,0
"Hardin-Simmons University","TX","Private","6 Selective
private",22350,1022.5,91700,41600,0.0138605767861009,0.0089459577575326,0.624100029468536,0
"Harding University","AR","Private","6 Selective
private",17040,1085,98200,41400,0.00746318371966481,0.0128633100539446,0.237200006842613,0
"Hartwick College","NY","Private","6 Selective
private",40070,NA,94400,45900,0.0166150443255901,0.0299864560365677,0.157600000500679,0
"Harvard University","MA","Private","1 Ivy+",43938,1505,174000,81500,0.017591679468751,0.153994515538216,0.941600024700165,0
"Harvey Mudd College","CA","Private","2 Other
elite",48594,1494,139800,82400,0.0292327273637056,0.0538907088339329,0.818300008773804,1
"Hastings College","NE","Private","6 Selective
private",26280,1015,82700,45000,0.0109330834820867,0.00908816698938608,0.263599991798401,0
"Haverford College","PA","Private","2 Other
elite",47214,1410,174200,57200,0.0179784372448921,0.12276054173708,0.765100002288818,0
"Hawaii Pacific University","HI","Private","6 Selective
private",21130,NA,68600,41100,0.0292309112846851,0.00871967989951372,0.358900010585785,1
"Heidelberg University","OH","Private","6 Selective
private",27480,1000,80000,43000,0.00910013448446989,0.00452576670795679,NA,0
"Henderson State University","AR","Public","5 Selective
public",7561,980,63900,36200,0.0240840781480074,0.00497628422454,0.377900004386902,1
"Hendrix College","AR","Private","4 H. Sel.
Private",39140,1200,107500,40900,0.0062430608086288,0.0142211858183146,0.196099996566772,0
"High Point University","NC","Private","6 Selective
private",31480,1100.5,86100,40800,0.0173904802650213,0.0176756400614977,0.358200013637543,0
"Hilbert College","NY","Private","6 Selective
private",19900,NA,66300,40200,0.0276162847876549,0,0.187299996614456,1
"Hiram College","OH","Private","6 Selective
private",30025,970,78900,43300,0.0135672902688384,0.00688723474740982,0.426400005817413,0
"Hobart And William Smith Colleges","NY","Private","6 Selective
private",47908,NA,120400,52700,0.0219436772167683,0.0951928570866585,0.505599975585938,1
"Hofstra University","NY","Private","6 Selective
private",38900,1140,105300,55700,0.02987558580935,0.0349003151059151,0.412900000810623,1
"Hollins University","VA","Private","6 Selective
private",34295,1080,110700,36400,0.0105743231251836,0.0539661236107349,0.307000011205673,0
"Holy Family University","PA","Private","6 Selective
private",28456,925,83200,46400,0.0169961396604776,0.00030723141389899,0.241500005125999,0
"Hood College","MD","Private","6 Selective
private",34120,NA,92600,45800,0.0278599672019482,0.00679650017991662,0.18979999423027,1
"Hope College","MI","Private","6 Selective
private",29560,1185,114100,46800,0.00532163633033633,0.0420658960938454,0.274699985980988,0
"Houghton College","NY","Private","6 Selective
private",28556,1120,85300,35300,0.0189822670072317,0.0086495578289032,0.089199997484684,0
"Houston Baptist University","TX","Private","6 Selective
private",28800,1055,93400,43100,0.0243303142488003,0.0229554250836372,0.268200010061264,1
"Howard Payne University","TX","Private","6 Selective
private",24600,965,69200,36800,0.0213462933897972,0.0036101951263845,0.461800009012222,1
"Howard University","DC","Private","6 Selective
private",23970,1105,76900,49600,0.0400400459766388,0.00427925959229469,0.507000029087067,1
"Humboldt State University","CA","Public","5 Selective
public",7171,985,96000,35500,0.0162601992487907,0.0151939475908875,0.19820000231266,0
"Huntingdon College","AL","Private","6 Selective
private",21249,1000,87200,38100,0.0183190144598484,0.00761599605903029,0.372099995613098,0
"Huntington University","IN","Private","6 Selective
private",24771,1004,81400,29500,0.00550708873197436,0.00222468981519341,0.0267999991774559,0
"Husson University","ME","Private","6 Selective
private",15590,955,60900,34300,0.0196035653352737,0.00346533302217722,0.201100006699562,1
"Illinois College","IL","Private","6 Selective
private",29210,NA,80900,41000,0.0141770113259554,0.0091820964589715,0.387100011110306,0
"Illinois Institute Of Technology","IL","Private","4 H. Sel.
Private",40052,1270,91600,72300,0.0363409742712975,0.0143293002620339,0.430299997329712,1
"Illinois State University","IL","Public","5 Selective
public",12802,NA,107600,49000,0.0108048617839813,0.00821045599877834,0.310799986124039,0
"Illinois Wesleyan University","IL","Private","4 H. Sel.
Private",40844,1265,120900,58000,0.0107693215832114,0.0497727245092392,0.416200011968613,0
"Immaculata University","PA","Private","6 Selective
private",30148,965,92700,43100,0.00800321251153946,0.00812347140163183,0.203600004315376,0
"Indiana Institute Of Technology","IN","Private","6 Selective
private",24860,940,67800,40700,0.0128440614789724,0.000712955312337726,0.277500003576279,0
"Indiana State University","IN","Public","5 Selective
public",8416,915,82600,37800,0.010691954754293,0.00516599602997303,0.169400006532669,0
"Indiana University Of Pennsylvania","PA","Public","5 Selective
public",9470,960,77100,38800,0.0142370155081153,0.00383339892141521,0.095100000500679,0
"Indiana University System","IN","Public","5 Selective
public",8874.57421875,1052.44616699219,99400,40100,0.00921746902167797,0.0302169546484947,0.28738871216774,0
"Iona College","NY","Private","6 Selective
private",34030,1015,97400,56200,0.0305279828608036,0.0113202063366771,0.0788000002503395,1
"Iowa State University Of Science & Technology","IA","Public","5 Selective
public",7731,1150,92900,51900,0.0131038296967745,0.0118015669286251,0.174799993634224,0
"Ithaca College","NY","Private","6 Selective
private",39532,NA,117800,52500,0.0138211641460657,0.049347773194313,0.333999991416931,0
"Jackson State University","MS","Public","5 Selective
public",6602,925,37100,31700,0.0297271776944399,0.000294048862997442,0.35359999537468,1
"Jacksonville State University","AL","Public","5 Selective
public",8790,980,69100,34300,0.0131658399477601,0.00522197736427188,0.167400002479553,0
"Jacksonville University","FL","Private","6 Selective
private",31370,NA,85000,43700,0.0123460106551647,0.0288184266537428,0.526300013065338,0
"James Madison University","VA","Public","5 Selective
public",9662,1140,134300,55900,0.00748546188697219,0.0260872170329094,0.364399999380112,0
"Jamestown College","ND","Private","6 Selective
private",19170,1146.5,75200,43100,0.0247724708169699,0.00145174679346383,0.431100010871887,1
"John Brown University","AR","Private","6 Selective
private",23588,NA,86800,35300,0.0210083909332752,0.0183533523231745,0.301800012588501,1
"John Carroll University","OH","Private","6 Selective
private",35800,1100,101500,54500,0.00971648376435041,0.0461914911866188,0.166600003838539,0
"Johns Hopkins University","MD","Private","2 Other
elite",47060,1435,142300,75000,0.0215148013085127,0.0880669131875038,0.818700015544891,1
"Johnson & Wales University","RI","Private","6 Selective
private",28239,NA,75100,35200,0.0183110181242228,0.0156668070703745,0.276705682277679,0
"Judson University","IL","Private","6 Selective
private",27530,1135,83000,35900,0.0125142494216561,0.0122258681803942,0.293099999427795,0
"Juniata College","PA","Private","6 Selective
private",38630,NA,92100,49500,0.0217599384486675,0.0125160738825798,0.259099990129471,1
"Kalamazoo College","MI","Private","4 H. Sel.
Private",41161,1224,139700,53700,0.0109342243522406,0.0450041182339191,0.331099987030029,0
"Kansas State University","KS","Public","5 Selective
public",9034,NA,92100,45600,0.0126898176968098,0.0132957398891449,0.0408999994397163,0
"Kansas Wesleyan University","KS","Private","6 Selective
private",25200,1010,66000,41000,0,0.0116175459697843,0.462999999523163,0
"Kean University","NJ","Public","5 Selective
public",11244,910,79200,46900,0.0341856181621552,0.00187928869854659,0.196299999952316,1
"Keene State College","NH","Public","5 Selective
public",12864,965,97700,41500,0.00948559399694204,0.01164978928864,0.181500002741814,0
"Kennesaw State University","GA","Public","5 Selective
public",5914,1080,99900,36600,0.0117897717282176,0.00863731373101473,0.434599995613098,0
"Kent State University","OH","Public","5 Selective
public",8056.5458984375,1050,78400,36800,0.0109143545851111,0.00664016092196107,0.169799998402596,0
"Kentucky Christian University","KY","Private","6 Selective
private",16830,945,77900,33400,0.00425227358937263,0.0012462519807741,0.486400008201599,0
"Kentucky State University","KY","Public","5 Selective
public",7404,830,54000,28200,0.0193660389631987,0.0012009363854304,0.622600018978119,1
"Kentucky Wesleyan College","KY","Private","6 Selective
private",22030,962,82500,38800,0.0144553780555725,0.00481668673455715,0.328999996185303,0
"Kenyon College","OH","Private","2 Other
elite",47330,1325,168400,48000,0.00643600802868605,0.1448605209589,0.616199970245361,0
"Kettering University","MI","Private","4 H. Sel.
Private",36980,1210,100100,85400,0.0311064850538969,0.00516376784071326,0.384099990129471,1
"Keuka College","NY","Private","6 Selective
private",28010,NA,67700,42100,0.0228018667548895,0.00272537302225828,0.12219999730587,1
"Keystone College","PA","Private","6 Selective
private",21900,920,60200,29900,0.0102625917643309,0.00699305394664407,0.279500007629395,0
"King University","TN","Private","6 Selective
private",25708,1000,76000,37100,0.000345034553902224,0.0140871275216341,0.362300008535385,0
"King's College of Wilkes-Barre, PA","PA","Private","6 Selective
private",31816,NA,89900,52400,0.016503257676959,0.0129813365638256,0.284900009632111,0
"Knox College","IL","Private","4 H. Sel.
Private",40497,NA,99900,44700,0.0108170611783862,0.0178613159805536,0.250400006771088,0
"Kutztown University Of Pennsylvania","PA","Public","5 Selective
public",9099,965,94100,43100,0.00887450948357582,0.00462991278618574,0.182099997997284,0
"La Roche College","PA","Private","6 Selective
private",25500,925,78700,39800,0.0228987634181976,0.00667532719671726,0.443500012159348,1
"La Salle University","PA","Private","6 Selective
private",39800,995,101500,58700,0.0182441733777523,0.0131267718970776,0.197899997234344,0
"La Sierra University","CA","Private","6 Selective
private",29895,935,81300,43200,0.0329727567732334,0.0154682844877243,0.532299995422363,1
