"name","state","public","tier_name","sticker_price_2013","sat_avg_2013","par_median","k_median","mr_kq5_pq1","par_top1pc","scorecard_rej_rate_2013","mobility_above_average"
"Berry College","GA","Private","6 Selective
private",30530,1160,103100,43400,0.0121539421379566,0.0157498326152563,0.396800011396408,0
"Bethany College of Bethany, WV","WV","Private","6 Selective
private",25736,880,77600,42400,0.0204691085964441,0.00197673356160522,0.505200028419495,1
"Bethany College of Lindsborg, KS","KS","Private","6 Selective
private",24390,905,73700,39800,0.0113370670005679,0.00406766170635819,0.411799997091293,0
"Bethel College","IN","Private","6 Selective
private",25830,1030,81300,31500,0.00625124806538224,0.0196137018501759,0.284200012683868,0
"Bethel University of McKenzie, TN","TN","Private","6 Selective
private",10750,NA,54700,34500,0.0163500588387251,0.00642821611836553,0.489699989557266,0
"Bethel University of Saint Paul, MN","MN","Private","6 Selective
private",32990,1165,1e+05,40200,0.00497969705611467,0.0254833865910769,0.0515000000596046,0
"Bethune Cookman University","FL","Private","6 Selective
private",14410,800,43000,32500,0.0216364096850157,0.000558409141376615,0.333999991416931,1
"Binghamton University","NY","Public","3 H. Sel.
Public",8620,1290,104400,65700,0.0508763045072556,0.00644353730604053,0.571300029754639,1
"Biola University","CA","Private","6 Selective
private",33322,1110,95300,35700,0.0179812964051962,0.0317016504704952,0.27140000462532,0
"Birmingham Southern College","AL","Private","6 Selective
private",31888,1120,137900,48100,0.0100455414503813,0.0923242196440697,0.357800006866455,0
"Blackburn University","IL","Private","6 Selective
private",19560,960,65800,41300,0.0123278135433793,0.00477057509124279,0.320100009441376,0
"Bloomfield College","NJ","Private","6 Selective
private",26750,820,40800,35600,0.0603737905621529,0.000175136985490099,0.453599989414215,1
"Bloomsburg University Of Pennsylvania","PA","Public","5 Selective
public",8914,975,89800,45700,0.0156969707459211,0.00388072011992335,0.114399999380112,0
"Bluefield State College","WV","Public","5 Selective
public",5832,905,54700,24800,0.0119841853156686,0.00117713457439095,0.573300004005432,0
"Bluffton University","OH","Private","6 Selective
private",29316,1020,77100,42400,0.00150125555228442,0.00370319024659693,0.469199985265732,0
"Boise State University","ID","Public","5 Selective
public",6641,1025,77100,31900,0.0127760143950582,0.00625161128118634,0.223399996757507,0
"Boston College","MA","Private","2 Other
elite",47436,1365,168400,71800,0.0160288475453854,0.138082191348076,0.677799999713898,0
"Boston University","MA","Private","4 H. Sel.
Private",46664,1300,126800,62000,0.0201751738786697,0.0757433995604515,0.543900012969971,1
"Bowdoin College","ME","Private","2 Other
elite",46808,NA,177600,61000,0.0109474277123809,0.15367180109024,0.850499987602234,0
"Bowling Green State University","OH","Public","5 Selective
public",9892.037109375,1025,92800,42600,0.0073367259465158,0.0108101507648826,0.275299996137619,0
"Bradley University","IL","Private","6 Selective
private",30844,1135,112900,54900,0.0117057086899877,0.0261765141040087,0.330599993467331,0
"Brandeis University","MA","Private","2 Other
elite",47475,1365,142700,63100,0.0203827545046806,0.0861542820930481,0.629599988460541,1
"Brenau University","GA","Private","6 Selective
private",24780,985,87000,34600,0.0209093205630779,0.0322751998901367,0.217099994421005,1
"Brewton Parker College","GA","Private","6 Selective
private",14200,NA,63400,30400,0.00799678731709719,0.00298176589421928,0.486299991607666,0
"Briar Cliff University","IA","Private","6 Selective
private",27312,985,74400,39500,0.00985420681536198,0.00801462400704622,NA,0
"Bridgewater College","VA","Private","6 Selective
private",30380,1045,91300,42100,0.0097876125946641,0.0184663757681847,0.450700014829636,0
"Bridgewater State University","MA","Public","5 Selective
public",8353,990,93300,45400,0.0132105182856321,0.00293031241744757,0.214000001549721,0
"Brigham Young University","UT","Private","6 Selective
private",5000,1260,119600,32600,0.00650539435446262,0.0474075525999069,0.505800008773804,0
"Brigham Young University - Hawaii","HI","Private","6 Selective
private",4940,1070,93200,22600,0.0124997906386852,0.0101809278130531,0.639599978923798,0
"Brown University","RI","Private","1 Ivy+",47434,1440,197000,66900,0.0154868522658944,0.188650891184807,0.908200025558472,0
"Bryan College","TN","Private","6 Selective
private",22200,1040,78800,28100,0.00470178620889783,0.0230378936976194,0.623799979686737,0
"Bryant University","RI","Private","6 Selective
private",38574,NA,116900,73300,0.0160339884459972,0.0312312226742506,0.234500005841255,0
"Bryn Mawr College","PA","Private","2 Other
elite",45540,1320,125400,47400,0.0182637851685286,0.0703891143202782,0.600799977779388,0
"Bucknell University","PA","Private","2 Other
elite",48498,1305,149800,71800,0.0146014522761106,0.112210720777512,0.704900026321411,0
"Buena Vista University","IA","Private","6 Selective
private",30406,912.5,69800,45900,0.0164414029568434,0.00711873732507229,0.304500013589859,0
"Butler University","IN","Private","6 Selective
private",35652,1170,121500,57300,0.0100170178338885,0.0528116934001446,0.33899998664856,0
"CUNY Bernard M. Baruch College","NY","Public","5 Selective
public",6561,1235,42800,57600,0.129385858774185,0.00559202022850513,0.751699984073639,1
"CUNY Brooklyn College","NY","Public","5 Selective
public",6536,1085,52200,44300,0.080658495426178,0.00785850081592798,0.680199980735779,1
"CUNY Hunter College","NY","Public","5 Selective
public",6429,1160,49800,44400,0.0754200220108032,0.00561015401035547,0.70279997587204,1
"CUNY John Jay College Of Criminal Justice","NY","Public","5 Selective
public",6359,970,41800,45200,0.0969143807888031,0.000979111529886723,0.659500002861023,1
"CUNY Lehman College","NY","Public","5 Selective
public",6408,995,32500,40700,0.102351374924183,0,0.767199993133545,1
"CUNY Medgar Evers College","NY","Public","5 Selective
public",6332,NA,35100,30900,0.0504787415266037,0.00136769737582654,0.0859000012278557,1
"CUNY Queens College","NY","Public","5 Selective
public",6507,1090,63300,48200,0.0713826566934586,0.012734835036099,0.629800021648407,1
"CUNY York College","NY","Public","5 Selective
public",6396,900,36500,36400,0.068195067346096,0.000612468749750406,0.648999989032745,1
"Cabrini College","PA","Private","6 Selective
private",29842,890,98100,46700,0.0134275555610657,0.0227891206741333,0.257200002670288,0
"Cairn University","PA","Private","6 Selective
private",23245,990,77100,26500,0.00704040797427297,0.00475311139598489,0.486900001764297,0
