age	same_sex	age_6	age_4	age_25	age_2545	age_4565	age_65	party	republican	independent	democrat	born_christian	retire	old_republican	gop_age	party2	same_sex2	same_sex3	same_sex4	same_sex5	same_sex6
49	1	4	3	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1
31	0	2	2	0	1	0	0	-1	0	0	1	1	0	0	0	0	0	1	0	0	0
61	0	5	3	0	0	1	0	1	1	0	0	0	0	1	61	2	0	0	0	1	0
21	1	1	1	1	0	0	0	-1	0	0	1	1	0	0	0	0	1	1	1	1	1
66	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
35	1	2	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
76	0	6	4	0	0	0	1	-1	0	0	1	1	1	0	0	0	1	0	0	0	0
46	1	4	3	0	0	1	0	1	1	0	0	0	0	1	46	2	1	0	0	1	1
75	0	6	4	0	0	0	1	1	1	0	0	0	1	1	75	2	1	0	0	1	0
46	1	4	3	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1
81	0	6	4	0	0	0	1	1	1	0	0	1	1	1	81	2	1	0	0	1	0
21	1	1	1	1	0	0	0	1	1	0	0	1	0	0	21	2	1	1	1	1	1
47	0	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0
61	0	5	3	0	0	1	0	1	1	0	0	1	0	1	61	2	0	0	0	1	0
48	0	4	3	0	0	1	0	1	1	0	0	1	0	1	48	2	0	0	0	1	0
31	0	2	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1
30	1	2	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
80	0	6	4	0	0	0	1	1	1	0	0	0	1	1	80	2	1	0	0	1	0
20	1	1	1	1	0	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
43	1	3	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
47	1	4	3	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1
48	0	4	3	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
69	1	6	4	0	0	0	1	1	1	0	0	0	1	1	69	2	1	0	0	1	1
60	0	5	3	0	0	1	0	1	1	0	0	1	0	1	60	2	0	0	0	1	0
46	0	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0
53	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
37	1	3	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
30	1	2	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
70	0	6	4	0	0	0	1	1	1	0	0	1	1	1	70	2	1	0	0	1	0
51	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
48	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
56	0	5	3	0	0	1	0	-1	0	0	1	1	0	0	0	0	0	0	0	0	0
48	0	4	3	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
62	1	5	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
66	1	6	4	0	0	0	1	1	1	0	0	0	1	1	66	2	1	0	0	1	1
73	1	6	4	0	0	0	1	-1	0	0	1	1	1	0	0	0	1	0	1	1	1
48	0	4	3	0	0	1	0	1	1	0	0	1	0	1	48	2	0	0	0	1	0
63	1	5	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
55	0	4	3	0	0	1	0	1	1	0	0	1	0	1	55	2	0	0	0	1	0
24	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
44	1	3	2	0	1	0	0	1	1	0	0	0	0	1	44	2	1	1	1	1	1
75	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
28	1	2	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
54	0	4	3	0	0	1	0	-1	0	0	1	1	0	0	0	0	0	0	0	0	0
46	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
62	1	5	3	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1
59	0	5	3	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1
29	1	2	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
39	1	3	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
25	1	1	1	1	0	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
82	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
43	1	3	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
81	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
80	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
53	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
69	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
82	1	6	4	0	0	0	1	1	1	0	0	0	1	1	82	2	1	0	0	1	1
69	0	6	4	0	0	0	1	1	1	0	0	1	1	1	69	2	1	0	0	1	0
74	1	6	4	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	1
56	1	5	3	0	0	1	0	1	1	0	0	0	0	1	56	2	1	0	0	1	1
67	1	6	4	0	0	0	1	1	1	0	0	0	1	1	67	2	1	0	0	1	1
77	0	6	4	0	0	0	1	1	1	0	0	1	1	1	77	2	1	0	0	1	0
60	0	5	3	0	0	1	0	1	1	0	0	0	0	1	60	2	0	0	0	1	0
45	1	3	2	0	1	0	0	1	1	0	0	0	0	1	45	2	1	0	0	1	1
58	1	5	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
50	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
61	1	5	3	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1
71	0	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	0	0	0
53	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
68	0	6	4	0	0	0	1	1	1	0	0	1	1	1	68	2	1	0	0	1	0
67	0	6	4	0	0	0	1	1	1	0	0	1	1	1	67	2	1	0	0	1	0
53	1	4	3	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1
59	0	5	3	0	0	1	0	1	1	0	0	1	0	1	59	2	0	0	0	1	0
62	1	5	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
49	0	4	3	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
64	0	5	3	0	0	1	0	-1	0	0	1	1	0	0	0	0	0	0	0	0	0
52	1	4	3	0	0	1	0	-1	0	0	1	1	0	0	0	0	1	0	1	1	1
28	0	2	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	0	1	0	0	0
79	0	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	0	0	0
33	1	2	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
47	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
45	0	3	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
64	1	5	3	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1
49	1	4	3	0	0	1	0	1	1	0	0	1	0	1	49	2	1	0	0	1	1
43	0	3	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1
29	1	2	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
45	0	3	2	0	1	0	0	1	1	0	0	0	0	1	45	2	0	0	0	1	0
64	0	5	3	0	0	1	0	1	1	0	0	1	0	1	64	2	0	0	0	1	0
24	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
27	0	2	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	0	1	0	0	0
23	1	1	1	1	0	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
20	0	1	1	1	0	0	0	-1	0	0	1	1	0	0	0	0	0	1	0	0	0
57	1	5	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
50	0	4	3	0	0	1	0	1	1	0	0	0	0	1	50	2	0	0	0	1	0
21	1	1	1	1	0	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
68	0	6	4	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1
73	0	6	4	0	0	0	1	1	1	0	0	0	1	1	73	2	1	0	0	1	0
53	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
83	0	6	4	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1
46	1	4	3	0	0	1	0	1	1	0	0	0	0	1	46	2	1	0	0	1	1
64	1	5	3	0	0	1	0	-1	0	0	1	1	0	0	0	0	1	0	1	1	1
90	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
50	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
79	0	6	4	0	0	0	1	-1	0	0	1	1	1	0	0	0	1	0	0	0	0
82	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
63	0	5	3	0	0	1	0	1	1	0	0	0	0	1	63	2	0	0	0	1	0
40	0	3	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	0	1	0	0	0
38	0	3	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	0	1	0	0	0
61	1	5	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
54	0	4	3	0	0	1	0	1	1	0	0	1	0	1	54	2	0	0	0	1	0
24	1	1	1	1	0	0	0	-1	0	0	1	0	0	0	0	0	1	1	1	1	1
51	0	4	3	0	0	1	0	-1	0	0	1	1	0	0	0	0	0	0	0	0	0
38	0	3	2	0	1	0	0	1	1	0	0	1	0	1	38	2	0	1	0	1	0
48	1	4	3	0	0	1	0	1	1	0	0	1	0	1	48	2	1	0	0	1	1
49	0	4	3	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1
60	0	5	3	0	0	1	0	-1	0	0	1	1	0	0	0	0	0	0	0	0	0
21	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
